Nombre,Sección,Imagen,Texto Alt,Orden,Activo
HeroImage,hero,Render cálido.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/rVFZCk8D8teb9oqf8_87_g/2UZY1V-R8KBXk5tiZ-yhbRXtbE1o2nAKgDlLRNZaHvcz6m0ga4teeMV0P1FfT6p88XxwfEV0pDnp8DxwxcI23ihNJaiU8dSED1lcGTuR0HkHRQyo6Gz2_SCaxUC2aLxqwVAVx3-mhQu-gf72K29pfazZUBk8aAuQ1z37v6I1QQ4/VSnnbFJS94nJmet84q2DArf4oX0wu3kCFk96cJsbCYc),,,checked
Nosotros – Alzado,nosotros,09 - Patio con huerta.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/9DqViVk4HFdF4ZvWvFnopw/YH44s-AEQIKJ0MkTiOPo6SMA7d3Y3fJYfMdOY0nAdIAvjcSJD5urW2NkqBzXDoT20GsjpHRRkMVmZACj5PliTrROkMd9cwEtisg9UbSsOGkz46a6mig6QUgqIAw6_DVRj5vBc3WWNXObAGilTuPQvorVdXKP6ogyBAwS0s9i2Mc/uX1UudUY3cLFZ028w7t_j1oMAY9C4rEuKW86UrKpr_s),,1,checked
Arquitectura contemporánea,proyecto,13 - Alzado posteior.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/PngJcfKCLH6pBpnZLmFtTQ/tGvWfZSQIntZ0tMl0jyrSpfTE_G_YTyorHmR3XCseTzr6kFHTF_oKo1tU-9aLJgRHV9Um3zTIE_VD_CQClEGRT2EGEez21t1md6pgT-AR1FfcUeWAQmJCrXOF2KHVKVgoHarmX-iP3Si98SK83WHLpvL6mg4DdksLDwMs4B2dAM/_o0gNhbgXYXL_EegXCoyL-lgTdMmfQ7iy3nFGKOok3w),"Diseño actual, líneas limpias y una estética pensada para perdurar.",1,checked
Un nuevo residencial en Moncada,proyecto,12 - Alzado fachada ext. (raw).png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/nn5Im-vcM0XcXnHBt_jISg/JTsb1gyt94hJ1OEvD9DwUAxiYxbGr_41o4u1dt914pc-lxEJzMZaGa8Ae6iu0F32X5FhBpKlrguxP770SKKAndb0trPQLfofFJ6YvmbZjqColoZy8VDxbN8Wsx2aJIal-xq222LhPjCeHfdTgW7IIyv0Ad_eQrWFl8mK6QjM_5EU6WpgPuJi1qo__v6JX7Rh/6ZNTrq0PfveotDj7uZXx8h1TomWm4edD4YaBRfSeYeE),"Viviendas de obra nueva con garaje, trastero y zonas comunes.",1,checked
Terrazas y luz natural,proyecto,02 - Atico terraza (raw).png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/VgFxyUc1drx5HXYdNlBUtg/BV5YM9DF_tINb_91mtG2NPk4ryCwLSxRiDmrA-r2DM71rBgjBM8Uhcgq03JvxIgZRvpylH2nN2LpBjgmtoxMsUkFckmadhwl6BJkBbZ5K9_Yq9ljOxe_QEErbYBRGjVid0MRCEO_brT1nJ0de5FIHAx9479vGHiv-WwfMsPKdx8/RGD29vD7sOowncGK9Sen-euQ-oFy8gKObD7JOCDxd9U),Espacios exteriores privados para disfrutar de la tranquilidad.,1,checked
Viviendas pensadas para vivir,proyecto,"""01 - Vivienda tipo, terraza detras.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/yTxLGbULuj0XbllRQAltEQ/1hrt9j0RdffA1FYwbTbafNEZj7U1CSvOmFDoDmUKgzQ4-qHQTG4Z64_3ImHt4ZPjRSJarXt5Mt3d6hY4XYDIJEQjz8qy_ne76-sCjS-C9FydKujsWr1MJPtSu7SKoshii6b3WswOlnEOfA2v_5y8Fk0aw8S3-mOlu86O2AgNoLFT6ke5gSPacvbx2vyv6Cc6/sGzW7511HgGeazNw0zyArL7Xs1pgokjclC5xGjWUwxE)""","Distribuciones funcionales, acabados de calidad y máximo aprovechamiento del espacio.",1,checked
Zonas comunes exclusivas,proyecto,10 - Gimnasio.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/UxWahbg_vQDWrAOcqyewvQ/HioBHr2kloYMOGqOU3v2PFKKv7IFhcUNRfuNOTLgsD7RoGdS4TmxV8CtCA12H2L-T6bOG2doaqFFRPSMTTkE5rJvbLrpXOVVpNzx1FGGxsyRbZ9A3StP5_N8iKKLnqHqAgm1SPUSAclcFwIv6RdzG3SqdG2o1QSvHRhbR9LQ_rM/8yJyoypa5NrifdjcPure2HX1YFa4ak2nmQUnNFg9OpE),"Gimnasio, piscina y espacios pensados para mejorar el día a día.",,checked
Amenidades – Piscina,amenidades,04_Piscina.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/WumV2A-zatFYls_0G741jA/GFHGYbX7cKK7UeCoUTxWTNBEFPG-q1S5cnkPxeyAAWbjaDIj8N5apERngaNgSMDMfXinXh7PQ1Zx7d8UtQFj6P4_DGZk7CvbKTt_AmcFbTW4isFzBJtlE_iMHptMPx7fSw3j5i7zJ2itwU6YcoSSsx_L39KdHAKghfnzbWr2jJc/21KNtuIbrEpofNja0eW8V4enHvTrOhkFjoFO8IqF3GU),Piscina comunitaria NARA Moncada,1,checked
Detalles – Zonas comunes,detalles,14 - Patio hero.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/uroY7FmOGU0xBhPOG5zKAg/XiUxVB6ck8A5YweDS5gmO9jn0flBsAu3SPJ5QXvXZP3H8rvhEJuEjYiUpRSpKefyI2yf2Kt9Nu1jpKtDw7vKcOFNnQl1hogQFHDpjNQdv8xyGKg__9wW1N43lw6O9PpPuSO6rx0C6kid9xONL5Nok18w12lnEUXEndmKw8P_0Y0/bacv81S1J7ZWs2yl9evQQVLnRUph3a5iIHRBsg6Wma4),Zonas comunes planta baja,1,checked
Galería 1 – Render,galeria,Render cálido.png (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/QsANDKLARgUBMZeGpceegw/ZneIgg8R5qpiTWiOCZmjqsxaL8Uj9aeXNbGjgTAO077kvRr1t7zD1pMf3jCgaYXYeU9m6AFZ23tyOJjbfNm-J-F51qryzc_rWCO7B5AqSV4JD1AabNau5MNFBjS5X3mFCytBMupOX95vnLyHa0V5UlPyeDZR5dO2kmnejq6NZ1g/TEi8JbJR3v2iltPvZpSf5kCBHIJi19uR6i7FX6kJ6SE),Interior NARA Moncada,1,checked
