Referencia,Tipología,Planta,Habitaciones,m² Construidos,m² Terraza,Precio de Venta (PVP),Estado,Documentación,ANEXOS,PVP Mercado,m2 Vivienda,Reservado
VIV. 1 ,6,PB,1,63,9,$216000.00,Disponible,Planos comercialización.pdf (https://v5.airtableusercontent.com/v3/u/57/57/1790006400000/pugQqGq5YIbmB24YIf68jg/aXRfea-RInHF7AuyghcBnY6-iNksEBfp9JGvNjxAyCyOujiqtDIRJfkNVBlUJcNxuabxUHQbS91KGkAYh2OjwFD4dqvBZRfNiC2-a9CYiEkDLgNyEcikFGHfRUf07y3YORvEWoMVebBjWbgX4OP09VJRt1B8GlsMZy0fB3Yx628/UR75aXOTjN3OfTpn9lYiQCr0CHDNF3LzBhghwG9XuMA),,,,
VIV. 2,6,PB,1,59,8,$206000.00,Disponible,,,,,
VIV. 3,6,PB,1,59,8,$206000.00,Reservado,,,,,
VIV. 4,5,PB,1,50,4,$177000.00,Reservado,,,,,
VIV. 5,6,PB,1,56,8,$198000.00,Reservado,,,,,
VIV. 6,6,PB,1,64,8,$219000.00,Reservado,,,,,
VIV. 7,8,P1,3,115,7,$336000.00,Reservado,,,,,
VIV. 8,7,P1,2,79,4,$258000.00,Reservado,,,,,
VIV. 9,6,P1,1,65,5,$223000.00,Reservado,,,,,
VIV. 10,7,P1,2,80,4,$260000.00,Disponible,,,,,
VIV. 11,7,P1,2,105,35,$300000.00,Reservado,,,,,checked
VIV. 12,8,P2,3,115,7,$342000.00,Disponible,,,,,
VIV. 13,7,P2,2,79,4,$270000.00,Reservado,,,,,
VIV. 14,6,P2,1,65,5,$231000.00,Disponible,,,,,
VIV. 15,7,P2,2,80,4,$272000.00,Reservado,,,,,
VIV. 16,7,P2,2,105,10,$318000.00,Disponible,,,,,
VIV. 17,8,P3,3,115,7,$387000.00,Reservado,,,,,
VIV. 18,7,P3,2,79,4,$288000.00,Reservado,,,,,
VIV. 19,6,P3,1,65,5,$228000.00,Reservado,,,,,
VIV. 20,7,P3,2,80,4,$276000.00,Disponible,,,,,
VIV. 21,7,P3,2,105,10,$318000.00,Reservado,,,,,
VIV. 22,"8,9",Ático,3,104,17,$394000.00,Disponible,,,,,
VIV. 23,"5,9",Ático,1,47,8,$220000.00,Disponible,,,,,
VIV. 24,"6,9",Ático,1,54,11,$252000.00,Reservado,,,,,
VIV. 25,"6,9",Ático,1,48,9,$242000.00,Reservado,,,,,
VIV. 26,"7,9",Ático,2,91,20,$365000.00,Reservado,,,,,
